,Name,comment,ID,Year,Rank,Average,Users rated,comment_length,sentiment,averageweight,maxplayers,minage,minplayers,minplaytime,owned,playingtime,stddev,trading,wanting,wishing,yearpublished,boardgamedesigner2,boardgamepublisher2,suggested_language_dependence3,cat1,cat2,cat3,other cat,mech1,mech2,mech3,other mech
24,Gloomhaven,3863,174430,2017,1,8.9,24574,321.4092674087497,0.12625956217208015,3.793,4,12,1,60,41470,120,1.6027,218,1345,12265,2017,Isaac Childres,"Cephalofair Games, Albi, Asmodee, Feuerland Spiele, Gém Klub Kft., Hobby World, Korea Boardgames co., Ltd.",Extensive use of text - massive conversion needed to be playable,Adventure, Exploration, Fantasy," Fighting, Miniatures",Campaign / Battle Card Driven, Cooperative Play, Grid Movement," Hand Management, Modular Board, Role Playing, Simultaneous Action Selection, Storytelling, Variable Player Powers"
25,Tzolk'in: The Mayan Calendar,3093,126163,2012,38,7.93,24350,245.39185257032008,0.12193333053782532,3.6467,4,13,2,90,28316,90,1.26331,227,1418,6543,2012,Simone Luciani    Daniele Tascini,"Czech Games Edition, Cranio Creations, Devir, DiceTree Games, GaGa Games, The Game Master BV, Heidelberger Spieleverlag, Hobby Japan, IELLO, Lex Games, MINDOK, One Moment Games, Rebel, Rio Grande Games, Zacatrus",No necessary in-game text,Ancient, Civilization, Economic," Farming, Mythology",Set Collection, Worker Placement,,
26,Android: Netrunner,3937,124742,2012,44,7.9,24235,250.78130556261112,0.10964633234204574,3.3679,2,14,2,45,38074,45,1.6499,1437,533,4109,2012,Richard Garfield    Lukas Litzsinger,"Fantasy Flight Games, Arclight, Asmodee, Edge Entertainment, Galakta, Game Harbor, Giochi Uniti, Heidelberger Spieleverlag, Korea Boardgames co., Ltd.",Extensive use of text - massive conversion needed to be playable,Bluffing, Card Game, Collectible Components, Science Fiction,Action Point Allowance System, Hand Management, Secret Unit Deployment, Variable Player Powers
27,Eclipse,3713,72125,2011,39,7.95,23936,307.37058981955295,0.09957337121239092,3.6912,6,14,2,60,25292,180,1.4876200000000002,617,1042,6987,2011,Touko Tahkokallio,"Lautapelit.fi, Asmodee, Asterion Press, Rebel, Ystari Games",No necessary in-game text,Civilization, Fighting, Science Fiction," Space Exploration, Wargame",Area Control / Area Influence, Dice Rolling, Grid Movement," Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers"
28,A Game of Thrones: The Board Game (Second Edition),2795,103343,2011,96,7.66,23914,246.40966010733453,0.08601841505456452,3.693,6,14,3,120,31811,240,1.5068,695,614,4782,2011,Christian T  Petersen,"Fantasy Flight Games, ADC Blackfire Entertainment, cutia.ro, Delta Vision Publishing, Edge Entertainment, Fantasmagoria, Galakta, Galápagos Jogos, Game Harbor, Giochi Uniti, Heidelberger Spieleverlag, Hobby World, Korea Boardgames co., Ltd., Monkey Time, Stratelibri",Some necessary text - easily memorized or small crib sheet,Bluffing, Fantasy, Negotiation," Novel-based, Political, Wargame",Area Control / Area Influence, Area Movement, Auction/Bidding," Hand Management, Player Elimination, Simultaneous Action Selection, Variable Player Powers"
29,Sheriff of Nottingham,2993,157969,2014,287,7.21,23615,172.13798864016042,0.10860185838802804,1.659,5,14,3,60,37286,60,1.27666,837,572,4661,2014,Sérgio Halaban    André Zatz,"Arcane Wonders, ADC Blackfire Entertainment, Asmodee, Asterion Press, Broadway Toys LTD, Edge Entertainment, Fantasmagoria, Galápagos Jogos, IELLO, Lex Games, Rebel, Reflexshop, Siam Board Games",Some necessary text - easily memorized or small crib sheet,Bluffing, Card Game, Humor," Medieval, Negotiation, Novel-based, Party Game",Card Drafting, Hand Management, Role Playing, Set Collection
30,Caverna: The Cave Farmers,3095,102794,2013,23,8.07,23540,270.6103392568659,0.124541090514159,3.7854,7,12,1,30,30109,210,1.35304,364,1749,9102,2013,Uwe Rosenberg,"Lookout Games, 999 Games, Crowd Games, Devir, Filosofia Éditions, Gemenot, Hobby Japan, HomoLudicus, Korea Boardgames co., Ltd., Lacerta, Ludofy Creative, Mayfair Games, MINDOK, Swan Panasia Co., Ltd., uplay.it edizioni",Moderate in-game text - needs crib sheet or paste ups,Animals, Economic, Fantasy, Farming,Tile Placement, Worker Placement,,
31,Eldritch Horror,3146,146021,2013,56,7.86,23494,265.55085823267643,0.0952368979768303,3.3102,8,14,1,120,35026,240,1.49897,553,762,6569,2013,Corey Konieczka    Nikki Valens,"Fantasy Flight Games, ADC Blackfire Entertainment, Arclight, Delta Vision Publishing, Edge Entertainment, Galakta, Galápagos Jogos, Giochi Uniti, Heidelberger Spieleverlag, Hobby World, Korea Boardgames co., Ltd., Wargames Club Publishing",Extensive use of text - massive conversion needed to be playable,Adventure, Fantasy, Fighting," Horror, Novel-based",Action Point Allowance System, Cooperative Play, Dice Rolling," Point to Point Movement, Role Playing, Storytelling, Variable Player Powers"
32,Mage Knight Board Game,3956,96848,2011,24,8.11,23403,304.37815975733065,0.09460382094652152,4.2702,4,14,1,60,34445,240,1.61709,870,1205,9057,2011,Vlaada Chvátil,"WizKids, Asmodee, Giochi Uniti, Intrafin Games, Lacerta, NECA, Pegasus Spiele, REXhry",Extensive use of text - massive conversion needed to be playable,Adventure, Exploration, Fantasy, Fighting,Card Drafting, Cooperative Play, Deck / Pool Building," Dice Rolling, Grid Movement, Hand Management, Modular Board, Role Playing, Tile Placement, Variable Player Powers"
33,Mysterium,2665,181304,2015,187,7.4,23088,199.6439024390244,0.12220905061453916,1.9155,7,10,2,42,35470,42,1.35788,469,741,5419,2015,Oleksandr Nevskiy    Oleg Sidorenko,"Libellud, ADC Blackfire Entertainment, Asmodee, Bergsala Enigma, Esdevium, F2Z Digital Media Inc., Filosofia Éditions, Galápagos Jogos, Gém Klub Kft., GoKids 玩樂小子, Kaissa Chess & Games, Lautapelit.fi, Morapiaf, Z-Man Games, Inc.",No necessary in-game text,Deduction, Horror, Murder/Mystery, Party Game,Cooperative Play, Hand Management, Pattern Recognition,
