,Name,comment,ID,Year,Rank,Average,Users rated,comment_length,sentiment,averageweight,maxplayers,minage,minplayers,minplaytime,owned,playingtime,stddev,trading,wanting,wishing,yearpublished,boardgamedesigner2,boardgamepublisher2,suggested_language_dependence3,cat1,cat2,cat3,other cat,mech1,mech2,mech3,other mech
468,Battle Sheep,491,54137,2010,1262,6.71,2868,157.19144602851324,0.10999342845435182,1.5128,4,7,2,15,3827,15,1.22702,97,90,497,2010,Francesco Rotta,"Blue Orange (EU), Blue Orange Games, FoxGames, GoKids 玩樂小子, HUCH!, Jactalea, Korea Boardgames co., Ltd., Lanlalen, Lautapelit.fi, Lúdilo, REXhry",No necessary in-game text,Abstract Strategy, Animals,,,Area Enclosure, Grid Movement, Modular Board,
469,Mafia de Cuba,396,176558,2015,1380,6.63,2867,215.0530303030303,0.07351886753961696,1.507,12,10,6,10,5213,20,1.35211,193,117,742,2015,Philippe des Pallières    Loïc Lamy,"Lui-même, Asmodee, Asterion Press, Broadway Toys LTD, Galápagos Jogos",No necessary in-game text,Bluffing, Deduction, Mafia, Party Game,Partnerships, Role Playing, Variable Player Powers,
470,Lords of Hellas,431,222509,2018,258,8.05,2845,286.1670533642691,0.11954986973763833,3.3529,4,14,1,60,5309,90,1.5194299999999998,42,380,1828,2018,Adam Kwapiński,"Awaken Realms, Albi, Asmodee, Delta Vision Publishing, Edge Entertainment, Hobby World, Lavka Games, PHALANX",Moderate in-game text - needs crib sheet or paste ups,Ancient, Miniatures, Mythology," Science Fiction, Territory Building",Area Control / Area Influence, Area Movement, Hand Management," Variable Player Powers, Worker Placement"
471,Akrotiri,601,154458,2014,619,7.31,2843,250.3394342762064,0.1103865764482746,2.6613,2,13,2,45,4956,45,1.15866,135,455,1785,2014,Jay Cormier    Sen Foong Lim,"Asmodee, Filosofia Éditions, Z-Man Games, Inc.",No necessary in-game text,Civilization, Exploration,,,Action Point Allowance System, Hand Management, Pick-up and Deliver, Tile Placement
472,Valeria: Card Kingdoms,465,170561,2016,521,7.46,2822,250.81505376344086,0.12630816730733258,1.9595,5,13,1,30,4845,45,1.26526,70,217,1003,2016,Isaias Vallejo,"Daily Magic Games, (Self-Published), Crazy Pawn Games, Games Factory, Games Factory Publishing, PixieGames, Schwerkraft-Verlag",Some necessary text - easily memorized or small crib sheet,Card Game, Dice, Fantasy,,Card Drafting, Deck / Pool Building, Dice Rolling,
473,13 Days: The Cuban Missile Crisis,570,177590,2016,532,7.44,2817,251.0684210526316,0.10154402432675146,2.2976,2,10,2,30,5013,45,1.15058,126,259,1010,2016,Asger Harding Granerud    Daniel Skjold Pedersen,"Jolly Roger Games, Ultra PRO, Cranio Creations, Frosted Games, Ludonova, Matagot, Pegasus Spiele, ""Surfin Meeple China""",Extensive use of text - massive conversion needed to be playable,Bluffing, Modern Warfare, Political, Wargame,Area Control / Area Influence, Campaign / Battle Card Driven, Hand Management,
474,Star Trek: Catan,460,117985,2012,895,7.03,2817,194.17391304347825,0.12895799836595284,2.377,4,10,3,75,7214,75,1.33883,188,124,676,2012,Klaus Teuber,"Catan Studio, KOSMOS, 999 Games, Devir, Filosofia Éditions, Giochi Uniti, Mayfair Games, Stupor Mundi",Some necessary text - easily memorized or small crib sheet,Movies / TV / Radio theme, Negotiation, Science Fiction,,Dice Rolling, Hand Management, Modular Board," Route/Network Building, Trading"
475,Mare Nostrum: Empires,467,174785,2016,417,7.63,2816,298.6038543897216,0.12242401748974108,3.0103,5,14,3,90,4942,120,1.34087,157,189,908,2016,Serge Laget,"ASYNCRON games, Academy Games, Inc., Ediciones MasQueOca, Giochix.it, PHALANX, Schwerkraft-Verlag",No necessary in-game text,Ancient, Civilization, Economic," Mythology, Wargame",Area Control / Area Influence, Dice Rolling, Set Collection," Trading, Variable Player Powers"
476,Panic Station,661,69552,2011,3057,6.03,2815,279.1452344931921,0.01717971764491369,2.3353,6,10,4,40,3975,40,1.82175,331,62,550,2011,David Ausloos,"White Goblin Games, Pegasus Spiele, REXhry, Stronghold Games",No necessary in-game text,Adventure, Bluffing, Exploration," Party Game, Science Fiction",Action Point Allowance System, Area Movement, Dice Rolling," Hand Management, Hidden Traitor, Modular Board, Partnerships, Player Elimination, Tile Placement"
477,Catacombs,734,57390,2010,779,7.12,2806,233.15667574931882,0.11725189980376645,1.9463,5,12,2,30,3422,60,1.35742,182,375,1479,2010,Ryan Amos    Marc Kelsey    Aron West,Elzra Corp.,Moderate in-game text - needs crib sheet or paste ups,Action / Dexterity, Adventure, Fantasy, Fighting,Partnerships, Player Elimination, Role Playing, Variable Player Powers
478,Samurai Sword,416,128667,2012,1357,6.7,2800,172.7740384615384,0.09245222722559376,1.7483,7,8,3,20,4769,40,1.34641,222,63,532,2012,Emiliano Sciarra,"dV Giochi, ABACUSSPIELE, Albi, Bard Centrum Gier, Edge Entertainment, Hobby Japan, Hobby World",Some necessary text - easily memorized or small crib sheet,Bluffing, Card Game, Deduction," Fighting, Medieval",Hand Management, Partnerships, Variable Player Powers,
479,Western Legends,476,232405,2018,359,7.78,2788,290.57563025210084,0.11695078582779272,2.7419,6,14,2,60,5079,90,1.45944,31,506,2895,2018,Hervé Lemaître,"Kolossal Games, Board Game Box, Funiverse, Lavka Games, Matagot, MS Edizioni",Moderate in-game text - needs crib sheet or paste ups,American West,,,,Action Point Allowance System, Area Movement, Betting/Wagering," Hand Management, Pick-up and Deliver, Take That, Variable Player Powers"
480,Famiglia,559,81453,2010,1622,6.49,2781,195.52057245080502,0.06813147145029114,1.7562,2,10,2,30,4185,30,1.30025,214,62,302,2010,Friedemann Friese,"2F-Spiele, Arclight, Edge Entertainment, Lacerta, Rio Grande Games, Rocks Games",No necessary in-game text,Card Game, Mafia,,,Card Drafting, Deck / Pool Building, Hand Management,
481,XenoShyft: Onslaught,494,159109,2015,876,7.03,2774,275.6923076923077,0.05906899308935541,2.7158,4,13,1,30,4884,60,1.38241,215,184,1196,2015,Keren Philosophales    Michael Shinall,"CMON Limited, Cool Mini Or Not, Edge Entertainment",Extensive use of text - massive conversion needed to be playable,Card Game, Horror, Science Fiction,,Card Drafting, Cooperative Play, Deck / Pool Building," Variable Player Powers, Worker Placement"
482,Dark Moon,539,111124,2011,840,7.07,2770,248.20964749536185,0.06751906515696703,2.3158,7,12,3,60,4023,75,1.36239,170,296,1435,2011,Evan Derrick,"Stronghold Games, (Web published), kártyagyár",Moderate in-game text - needs crib sheet or paste ups,Bluffing, Deduction, Dice," Movies / TV / Radio theme, Print & Play, Science Fiction, Space Exploration, Spies/Secret Agents",Dice Rolling, Hidden Traitor, Partnerships," Role Playing, Variable Player Powers"
483,Age of Industry,693,65901,2010,547,7.4,2767,290.09668109668115,0.11349973996601245,3.3705,5,13,2,120,3201,120,1.33484,128,226,786,2010,Martin Wallace,"Treefrog Games, Hobby Japan, Wargames Club Publishing",No necessary in-game text,Economic, Industry / Manufacturing, Transportation,,Card Drafting, Hand Management, Route/Network Building,
484,Yomi,662,43022,2011,898,7.04,2761,278.42598187311177,0.09892246945717167,2.3523,2,10,2,30,2911,30,1.6862,174,188,879,2011,David Sirlin,Sirlin Games,Moderate in-game text - needs crib sheet or paste ups,Bluffing, Card Game, Fantasy," Fighting, Video Game Theme",Hand Management, Rock-Paper-Scissors, Simultaneous Action Selection, Variable Player Powers
485,Space Cadets: Dice Duel,559,142079,2013,1068,6.85,2760,199.54561717352416,0.10108641263654833,2.0816,8,12,4,30,4579,30,1.49697,312,209,1010,2013,Geoff Engelstein    Sydney Engelstein,Stronghold Games,No necessary in-game text,Dice, Fighting, Party Game," Real-time, Science Fiction, Space Exploration",Action / Movement Programming, Dice Rolling, Grid Movement, Partnerships
486,Smash Up: Pretty Pretty Smash Up,209,168917,2015,643,7.34,2749,86.48803827751196,0.13530693090361412,2.1538,2,14,2,45,9543,45,1.28651,173,80,451,2015,Paul Peterson,"Alderac Entertainment Group, Edge Entertainment, Hobby World, IELLO, Pegasus Spiele, uplay.it edizioni",Moderate in-game text - needs crib sheet or paste ups,Animals, Card Game, Fantasy, Humor,Area Control / Area Influence, Hand Management, Variable Player Powers,
487,Super Motherload,394,162286,2015,517,7.45,2746,225.756345177665,0.1366110045781303,2.2857,4,13,2,60,3845,75,1.10326,85,379,1462,2015,Gavan Brown    Matt Tolman,"Roxley, Games Factory Publishing, XGen Studios",Some necessary text - easily memorized or small crib sheet,Science Fiction, Video Game Theme,,,Deck / Pool Building, Hand Management, Set Collection," Tile Placement, Variable Player Powers"
488,Thunder Alley,554,108906,2014,604,7.36,2744,318.0018050541516,0.09957142225662234,2.375,7,10,2,90,3643,90,1.45727,126,311,939,2014,Jeff Horger    Carla Horger,GMT Games,Moderate in-game text - needs crib sheet or paste ups,Racing, Sports,,,Hand Management,,,
489,Martian Dice,627,99875,2011,2015,6.32,2737,137.31419457735248,0.1360990531187952,1.0757,99,8,2,10,4669,10,1.25969,141,48,234,2011,Scott Almes,"Tasty Minstrel Games, Pegasus Spiele",No necessary in-game text,Dice, Humor, Party Game, Science Fiction,Dice Rolling, Press Your Luck, Set Collection,
490,Munchkin Zombies,303,86955,2011,2472,6.25,2729,108.82178217821782,0.06932342244716827,1.951,6,10,3,90,7621,90,1.62837,288,26,212,2011,Steve Jackson  I,"Black Monk, Edge Entertainment, Galápagos Jogos, Hobby World, Kaissa Chess & Games, Pegasus Spiele, Raven Distribution, Steve Jackson Games",Moderate in-game text - needs crib sheet or paste ups,Card Game, Fighting, Humor, Zombies,Dice Rolling, Hand Management, Variable Player Powers,
491,51st State,620,73369,2010,1058,6.87,2716,278.30483870967737,0.08179521381385782,3.1068,4,10,2,40,3445,90,1.47163,323,86,567,2010,Ignacy Trzewiczek,"Portal Games, IELLO, Toy Vault, Inc.",No necessary in-game text,Card Game, City Building, Economic, Science Fiction,Card Drafting, Hand Management, Variable Player Powers,
492,Unfair,501,179172,2017,677,7.39,2697,265.4690618762475,0.08225425047239948,2.6522,5,14,2,50,4943,125,1.57595,126,181,977,2017,Joel Finch,"CMON Limited, Good Games Publishing",Moderate in-game text - needs crib sheet or paste ups,Card Game, City Building, Economic, Print & Play,Card Drafting, Hand Management, Set Collection," Take That, Variable Player Powers"
493,Pandemic: Contagion,345,157789,2014,1722,6.46,2686,197.072463768116,0.05411948523728296,1.8989,5,14,2,30,5803,30,1.32208,181,94,710,2014,Carey Grayson,"Z-Man Games, Inc., Asmodee, Asterion Press, Filosofia Éditions, Hobby Japan",Moderate in-game text - needs crib sheet or paste ups,Card Game, Medical,,,Area Control / Area Influence, Hand Management,,
494,The Others,399,172047,2016,628,7.47,2673,258.65413533834584,0.10627449369887584,3.0617,5,14,2,90,6006,90,1.54862,175,143,1176,2016,Eric M  Lang,"CMON Limited, Guillotine Games, Asmodee, Asterion Press, Broadway Toys LTD, Edge Entertainment, Portal Games",Extensive use of text - massive conversion needed to be playable,Fantasy, Fighting, Horror, Miniatures,Area Control / Area Influence, Area Movement, Dice Rolling," Modular Board, Variable Player Powers"
495,Love Letter Premium,345,196326,2016,501,7.55,2668,177.83478260869563,0.17752550529417666,1.3125,8,8,2,20,5521,30,1.36945,42,91,679,2016,Seiji Kanai    John Zinser,"Alderac Entertainment Group, Bard Centrum Gier, Hobby World, Kaissa Chess & Games, Pegasus Spiele, Z-Man Games, Inc.",Some necessary text - easily memorized or small crib sheet,Card Game, Deduction,,,Hand Management, Player Elimination,,
496,Tournay,475,105037,2011,865,7.02,2664,245.98947368421054,0.09491888019616204,2.8955,4,12,2,30,4000,60,1.23973,166,152,571,2011,Sébastien Dujardin    Xavier Georges    Alain Orban,"Heidelberger Spieleverlag, Pearl Games, uplay.it edizioni, Z-Man Games, Inc.",No necessary in-game text,Card Game, City Building, Economic, Medieval,Card Drafting, Hand Management, Worker Placement,
497,The Pursuit of Happiness,435,181687,2015,672,7.27,2661,258.3379310344828,0.10057644367732137,2.4861,4,12,1,60,4411,90,1.2044700000000002,124,276,1152,2015,Adrian Abela    David Chircop,"Artipia Games, Ediciones MasQueOca, Kobold Spieleverlag, Kobold Spieleverlag, Playagame Edizioni, REXhry, Stronghold Games",Some necessary text - easily memorized or small crib sheet,Economic,,,,Simulation, Worker Placement,,
498,Space Base,431,242302,2018,563,7.44,2658,292.29466357308587,0.10746563107142107,2.1429,5,14,2,60,4762,60,1.26127,42,478,1742,2018,John D  Clair,"Alderac Entertainment Group, Asmodee, Edge Entertainment",Some necessary text - easily memorized or small crib sheet,Dice, Science Fiction, Space Exploration,,Card Drafting, Dice Rolling,,
499,BattleCON: Devastation of Indines,538,123123,2013,254,8.0,2653,280.3866171003717,0.1276665705599639,3.0769,5,10,1,45,4334,45,1.61373,196,233,1086,2013,D  Brad Talton  Jr,"Level 99 Games, Banana Games",Extensive use of text - massive conversion needed to be playable,Card Game, Fighting,,,Hand Management, Point to Point Movement, Simultaneous Action Selection, Variable Player Powers
500,City of Horror,471,120217,2012,1336,6.72,2653,253.67091295116768,0.05141554837600658,2.4307,6,13,3,90,4289,90,1.45587,249,128,941,2012,Nicolas Normandon,"Repos Production, Asmodee, Swan Panasia Co., Ltd.",No necessary in-game text,Horror, Negotiation, Zombies,,Area Movement, Simultaneous Action Selection, Voting,
501,Villainous,397,256382,2018,882,7.12,2650,330.7455919395466,0.11202638182302782,2.3521,6,10,2,50,6747,50,1.44133,85,223,1417,2018,Prospero Hall,"Ravensburger Spieleverlag GmbH, Wonder Forge",Extensive use of text - massive conversion needed to be playable,Card Game, Fantasy, Medieval," Movies / TV / Radio theme, Mythology, Novel-based, Pirates",Hand Management, Take That, Variable Player Powers,
502,Fog of Love,442,175324,2017,687,7.28,2649,295.552036199095,0.1308291497999988,2.2807,2,17,2,60,6987,120,1.56922,221,321,1947,2017,Jacob Jaskov,Hush Hush Projects,Extensive use of text - massive conversion needed to be playable,Bluffing, Card Game, Deduction,,Cooperative Play, Hand Management, Role Playing," Simulation, Simultaneous Action Selection, Storytelling"
503,Good Cop Bad Cop,410,153064,2014,1330,6.69,2645,163.00243902439027,0.07761259992918948,1.2577,8,12,4,10,4294,20,1.37429,167,88,557,2014,Brian Henk    Clayton Skancke,"Broadway Toys LTD, Ediciones Primigenio, Fullcap Games, Magellan, Mandala Jogos, Overworld Games",Some necessary text - easily memorized or small crib sheet,Bluffing, Card Game, Deduction," Party Game, Spies/Secret Agents",Hand Management, Memory, Partnerships," Player Elimination, Take That"
504,Relic,418,128442,2013,1249,6.85,2645,224.7846889952153,0.10687187545048243,2.4681,4,14,2,180,5164,180,1.55658,193,97,557,2013,John Goodenough,"Fantasy Flight Games, Edge Entertainment, Galakta, Giochi Uniti, Heidelberger Spieleverlag, WizKids",Extensive use of text - massive conversion needed to be playable,Adventure, Exploration, Science Fiction, Space Exploration,Dice Rolling, Roll / Spin and Move, Variable Player Powers,
505,Timeline: Music & Cinema,281,145189,2013,1212,6.77,2635,140.65836298932385,0.10206626745304444,1.1081,8,8,2,15,5272,15,1.17744,38,76,311,2013,Frédéric Henry,"Asmodee, Gém Klub Kft., More Fun Co., Ltd., REXhry",Some necessary text - easily memorized or small crib sheet,Card Game, Educational, Trivia,,,,,
506,Battles of Westeros,517,67492,2010,674,7.32,2620,290.63442940038686,0.1163192357061558,3.1972,2,12,2,60,4741,120,1.46305,251,167,861,2010,Robert A  Kouba,"Fantasy Flight Games, Cross Circle Games, Edge Entertainment, Galakta, Heidelberger Spieleverlag, Stupor Mundi",Extensive use of text - massive conversion needed to be playable,Fantasy, Medieval, Miniatures," Novel-based, Wargame",Campaign / Battle Card Driven, Dice Rolling, Hand Management," Modular Board, Variable Player Powers"
507,Pictomania,361,98229,2011,635,7.32,2619,191.4736842105264,0.10632204671321388,1.5152,6,9,3,25,3914,25,1.2932,108,161,772,2011,Vlaada Chvátil,"Czech Games Edition, Dino Toys s. r. o., Ediciones MasQueOca, Hobby Japan, IELLO, Lifestyle Boardgames Ltd, Pegasus Spiele, Stronghold Games, Swan Panasia Co., Ltd., Trefl",Unplayable in another language,Party Game, Real-time,,,Line Drawing,,,
508,Vinhos Deluxe Edition,358,175640,2016,142,8.25,2615,295.31284916201116,0.1450855632575602,4.0859,4,14,1,60,5412,135,1.24878,56,511,1631,2016,Vital Lacerda,Eagle-Gryphon Games,No necessary in-game text,Economic, Industry / Manufacturing,,,Area Control / Area Influence, Variable Phase Order, Worker Placement,
509,Carcassonne: South Seas,451,147303,2013,820,7.13,2611,208.3968957871397,0.15576389232801954,1.8468,5,8,2,35,4280,35,1.1552,88,111,436,2013,Klaus Jürgen Wrede,"999 Games, Bergsala Enigma, Devir, Filosofia Éditions, Giochi Uniti, Hans im Glück, Hobby World, Lautapelit.fi, Piatnik, Z-Man Games, Inc.",No necessary in-game text,Economic, Nautical,,,Area Control / Area Influence, Set Collection, Tile Placement,
510,Kolejka,360,85325,2011,1355,6.75,2603,228.38333333333333,0.09118306155580601,2.0361,5,12,2,60,3392,60,1.38079,60,150,590,2011,Karol Madaj,"Instytut Pamięci Narodowej (IPN), HUCH!, Trefl",Moderate in-game text - needs crib sheet or paste ups,Economic, Educational,,,Hand Management, Memory, Set Collection, Worker Placement
511,A Fake Artist Goes to New York,442,135779,2012,791,7.14,2599,180.6787330316742,0.10108401848022494,1.1639,10,8,5,20,4247,20,1.25027,57,230,1037,2012,Jun Sasaki,"Oink Games, PopcornEdu",No necessary in-game text,Bluffing, Deduction, Party Game,,Line Drawing, Role Playing,,
512,Cargo Noir,511,90305,2011,1683,6.49,2596,225.0195694716243,0.09437063935428276,2.0819,5,8,2,30,3517,90,1.29555,168,100,521,2011,Serge Laget,Days of Wonder,Some necessary text - easily memorized or small crib sheet,Economic,,,,Auction/Bidding, Set Collection, Worker Placement,
513,World's Fair 1893,440,178336,2016,693,7.25,2589,219.44545454545448,0.14022314929172133,2.0,4,10,2,35,4341,45,1.13462,136,181,721,2016,J  Alex Kevern,"2 Pionki, dlp games, Foxtrot Games, Origames, Portal Games, Renegade Game Studios",No necessary in-game text,Post-Napoleonic,,,,Area Control / Area Influence, Card Drafting, Set Collection,
514,Pixel Tactics,399,125548,2012,950,7.0,2586,236.09774436090225,0.09069612677344956,2.6179,2,12,2,30,5570,30,1.41936,185,118,663,2012,D  Brad Talton  Jr,"GaGa Games, Level 99 Games, Pegasus Spiele, Portal Games, Shining Creations",Extensive use of text - massive conversion needed to be playable,Card Game, Fantasy, Fighting, Video Game Theme,Card Drafting, Hand Management, Variable Player Powers,
515,The Great Zimbabwe,555,111341,2012,323,7.78,2576,461.64504504504487,0.0943780571897657,3.6927,5,14,2,90,3255,150,1.50259,29,500,1313,2012,Jeroen Doumen    Joris Wiersinga,Splotter Spellen,Some necessary text - easily memorized or small crib sheet,Civilization, Economic, Industry / Manufacturing, Transportation,Auction/Bidding, Card Drafting, Modular Board," Route/Network Building, Tile Placement, Variable Player Powers"
516,Meeple Circus,328,193214,2017,764,7.2,2563,203.3689024390244,0.09007146636403908,1.4,5,8,2,45,4166,45,1.33054,55,311,1392,2017,Cédric Millet,"Matagot, Ergo Ludo Editions, Gen-X Games, Ghenos Games, Mandoo Games, Pegasus Spiele",Some necessary text - easily memorized or small crib sheet,Action / Dexterity, Animals,,,Card Drafting, Pattern Building, Press Your Luck,
517,Smash Up: Monster Smash,193,160018,2014,651,7.36,2559,80.99481865284973,0.15557976065056692,2.2821,2,12,2,30,8588,45,1.271,132,117,583,2014,Paul Peterson,"Alderac Entertainment Group, Edge Entertainment, IELLO, Pegasus Spiele, uplay.it edizioni",Extensive use of text - massive conversion needed to be playable,Card Game, Fantasy, Humor," Mythology, Science Fiction, Zombies",Area Control / Area Influence, Hand Management, Take That, Variable Player Powers
518,"Artifacts, Inc.",482,168609,2014,1087,6.86,2554,210.17842323651456,0.07807221657418785,2.1717,4,13,2,60,4621,60,1.13794,213,155,762,2014,Ryan Laukat,"IELLO, Red Raven Games",Moderate in-game text - needs crib sheet or paste ups,Adventure, Card Game, Economic, Exploration,Action Point Allowance System, Area Control / Area Influence, Card Drafting," Dice Rolling, Set Collection"
519,The Colonists,431,192836,2016,364,7.76,2548,361.84222737819033,0.06625351035808064,4.0687,4,12,1,30,4934,360,1.41434,170,322,1546,2016,Tim Puls,"Lookout Games, Cranio Creations, Mayfair Games",Moderate in-game text - needs crib sheet or paste ups,Civilization,,,,Area Movement, Card Drafting, Hand Management," Modular Board, Tile Placement, Worker Placement"
520,Thunderstone: Dragonspire,366,85897,2011,624,7.37,2547,199.7295081967213,0.08444404487503063,2.7094,5,12,1,45,4173,45,1.47377,219,78,462,2011,Mike Elliott    Brent Keith,"Alderac Entertainment Group, Arclight, Edge Entertainment, Pegasus Spiele, Wargames Club Publishing",Moderate in-game text - needs crib sheet or paste ups,Card Game, Fantasy,,,Card Drafting, Deck / Pool Building, Hand Management,
521,ZhanGuo,436,160495,2014,437,7.62,2547,313.4931192660551,0.07609267279324153,3.8058,4,12,2,60,3516,120,1.25349,72,272,926,2014,Marco Canetta    Stefania Niccolini,"""Whats Your Game?"", Asmodee, Ghenos Games, hobbity.eu",No necessary in-game text,Ancient, Card Game,,,Area Control / Area Influence, Hand Management,,
522,Space Empires: 4X,610,84419,2011,455,7.64,2545,327.58196721311475,0.0831173465583118,3.3360000000000003,4,12,1,180,5329,180,1.49737,136,407,1720,2011,Jim Krohn,"Banana Games, GMT Games",Some necessary text - easily memorized or small crib sheet,Bluffing, Science Fiction, Space Exploration, Wargame,Auction/Bidding, Dice Rolling, Hex-and-Counter," Paper-and-Pencil, Secret Unit Deployment, Simulation"
523,Black Orchestra,486,156858,2016,528,7.54,2541,300.2674897119342,0.0956097830467658,2.3662,5,14,1,90,4870,90,1.34899,88,379,1734,2016,Philip duBarry,"Game Salute, Asmodee, Ludonova",Extensive use of text - massive conversion needed to be playable,Spies/Secret Agents, World War II,,,Action Point Allowance System, Cooperative Play, Dice Rolling," Hand Management, Pick-up and Deliver, Point to Point Movement, Press Your Luck, Set Collection, Variable Player Powers"
524,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,295,204305,2017,279,7.93,2539,242.23389830508475,0.13018825959701666,2.2,8,10,1,60,8366,120,1.38908,125,392,2275,2017,Suzanne Goldberg    Gary Grady    Jérôme Ropert,"Asmodee, Asterion Press, Rebel, Space Cowboys",Unplayable in another language,Deduction, Murder/Mystery, Novel-based," Post-Napoleonic, Puzzle, Spies/Secret Agents",Cooperative Play, Storytelling,,
525,Fugitive,417,197443,2017,647,7.32,2536,163.4172661870504,0.10610939083645683,1.6829,2,10,2,5,5759,20,1.09502,109,234,1181,2017,Tim Fowers,"Fowers Games, 2Tomatoes, BoardM Factory, Broadway Toys LTD, MS Edizioni",Some necessary text - easily memorized or small crib sheet,Bluffing, Card Game, Deduction," Number, Spies/Secret Agents",Hand Management, Memory, Secret Unit Deployment,
526,Beasty Bar,395,165950,2014,1126,6.85,2536,173.7670886075949,0.1196449998915271,1.4167,4,8,2,20,3717,20,1.16799,82,80,403,2014,Stefan Kloß,"999 Games, Devir, REXhry, Zoch Verlag",No necessary in-game text,Animals, Card Game, Humor,,Hand Management, Take That,,
527,Tides of Madness,358,195544,2016,1030,6.92,2533,162.68994413407822,0.1218594615167281,1.5,2,10,2,20,5911,20,1.15394,168,79,610,2016,Kristian Čurla,"Edge Entertainment, Pegasus Spiele, Portal Games",Some necessary text - easily memorized or small crib sheet,Card Game, Horror,,,Card Drafting, Set Collection,,
528,"Warhammer 40,000: Conquest",378,156776,2014,675,7.39,2513,232.76455026455025,0.1089315005433954,3.0488,2,14,2,45,4885,45,1.51585,249,80,384,2014,Brad Andres    Nate French    Eric M  Lang,"Fantasy Flight Games, Edge Entertainment, Emperor Penguin Games, Galakta, Giochi Uniti, Heidelberger Spieleverlag",Extensive use of text - massive conversion needed to be playable,Card Game, Collectible Components, Fighting,,Area Control / Area Influence, Area-Impulse, Hand Management,
529,Cthulhu Fluxx,321,122159,2012,2879,6.12,2511,133.32710280373828,0.09691336710232236,1.4712,6,8,2,5,6115,30,1.65077,145,18,206,2012,Keith Baker,"Black Monk, Edge Entertainment, Hobby Japan, Hobby World, Looney Labs, Pegasus Spiele, Raven Distribution",Extensive use of text - massive conversion needed to be playable,Card Game,,,,Hand Management, Set Collection,,
530,Sid Meier's Civilization: A New Dawn,371,233247,2017,666,7.41,2500,385.9460916442048,0.08427799173215138,2.9639,4,14,2,60,4541,120,1.26568,123,230,1655,2017,James Kniffen,"Fantasy Flight Games, 2K Games, Inc., Asmodee, Fantasmagoria, Firaxis Games, Inc., Galakta, Hobby World, Kaissa Chess & Games",Moderate in-game text - needs crib sheet or paste ups,Civilization,,,,Area Control / Area Influence, Modular Board, Variable Player Powers,
531,Detective: A Modern Crime Board Game,340,223321,2018,212,8.22,2495,314.18529411764706,0.1068937502290157,2.7297,5,16,1,120,7563,180,1.61021,105,416,2863,2018,Przemysław Rymer    Ignacy Trzewiczek    Jakub Łapot,"Portal Games, GaGa Games, IELLO, Maldito Games, Pegasus Spiele, Pendragon Game Studio, REXhry",Extensive use of text - massive conversion needed to be playable,Deduction, Murder/Mystery,,,Cooperative Play, Storytelling,,
532,Ninjato,524,50768,2011,715,7.24,2494,288.43702290076334,0.13891785198867093,2.7637,4,12,2,60,2710,60,1.23653,119,204,903,2011,Dan Schnake    Adam West,"CrossCut Games, IELLO, White Goblin Games, Z-Man Games, Inc.",No necessary in-game text,Fighting, Medieval, Political,,Area Control / Area Influence, Hand Management, Press Your Luck," Set Collection, Worker Placement"
533,Outlive,290,191051,2017,595,7.5,2491,250.38965517241382,0.10125596570110228,2.9881,4,14,2,40,4548,110,1.31667,80,289,1472,2017,Grégory Oliver,"La Boîte de Jeu, Albi, Arclight, Fabrika Igr, Last Level, Pegasus Spiele, Raven Distribution, Rebel, ""Surfin Meeple China""",Some necessary text - easily memorized or small crib sheet,Science Fiction,,,,Area Movement, Set Collection, Variable Player Powers, Worker Placement
534,SeaFall,541,148261,2016,1854,6.48,2482,447.2107208872457,0.02802688003200444,3.7662,5,14,3,120,6665,180,2.12096,256,161,1826,2016,Rob Daviau    JR Honeycutt,"IronWall Games, Cube Factory of Ideas, Devir, Filosofia Éditions, Galápagos Jogos, Heidelberger Spieleverlag, Plaid Hat Games",Extensive use of text - massive conversion needed to be playable,Civilization, Exploration, Nautical,,Campaign / Battle Card Driven, Grid Movement, Hand Management," Time Track, Trading, Variable Player Powers"
535,Pax Porfiriana,626,128780,2012,412,7.67,2467,397.8258785942492,0.0873135795213102,3.5094,6,12,1,120,3929,120,1.61908,118,259,913,2012,Matt Eklund    Phil Eklund    Jim Gutt,"Sierra Madre Games, Ediciones MasQueOca",Extensive use of text - massive conversion needed to be playable,Card Game, Civil War, Economic," Political, Post-Napoleonic, Wargame",Card Drafting, Simulation,,
536,Dale of Merchants,368,176165,2015,790,7.2,2462,211.1277173913044,0.11349071560268845,2.0595,4,10,2,30,4045,30,1.21988,97,132,669,2015,Sami Laakso,"Board Game Leisure, Bragelonne, Devir, Fullcap Games, Reflexshop, Schwerkraft-Verlag, Snowdale Design, Vendetta",Moderate in-game text - needs crib sheet or paste ups,Animals, Card Game, Fantasy,,Card Drafting, Deck / Pool Building, Dice Rolling," Hand Management, Set Collection, Take That"
537,Too Many Bones,463,192135,2017,130,8.53,2451,354.14686825054,0.13237700156293145,3.7969,4,12,1,60,4308,120,1.52844,20,859,3497,2017,Josh J  Carlson    Adam Carlson,"Chip Theory Games, Gameland 游戏大陆",Moderate in-game text - needs crib sheet or paste ups,Adventure, Dice, Fantasy,,Cooperative Play, Deck / Pool Building, Dice Rolling," Hand Management, Role Playing, Variable Player Powers"
