,index,Name,comment,ID,Year,Rank,Average,Users rated,comment_length,Good_bad,sentiment,averageweight,maxplayers,minage,minplayers,minplaytime,owned,playingtime,stddev,trading,wanting,wishing,yearpublished,boardgamedesigner2,boardgamecategory2,boardgamemechanic2,boardgamepublisher2,suggested_language_dependence3,Strategy Game Rank,Family Game Rank,mech1,mech2,mech3,other mech,playingtime_cat
8872,8872,Masmorra de DADOS,12,162476,2014,6057,6.97,132,106.91666666666669,Bad,-0.0028829966329966122,2.3636,5,14,2,30,225,30,1.49894,8,1,8,2014,Daniel Alves    Patrick Matheus    Eurico Cunha Neto,"Adventure, Dice, Exploration, Fantasy, Fighting, Medieval, Mythology","Area Movement, Dice Rolling, Player Elimination, Press Your Luck, Tile Placement, Variable Player Powers","HISTERIA GAMES, Taberna do Dragão",Moderate in-game text - needs crib sheet or paste ups,,1288.0,Area Movement, Dice Rolling, Player Elimination," Press Your Luck, Tile Placement, Variable Player Powers",1_<= 30
8873,8873,Masmorra: Dungeons of Arcadia,313,181524,2017,1052,7.15,1925,235.76038338658142,Good,0.12709710602948726,2.2,5,13,1,20,4971,45,1.34565,149,103,543,2017,Daniel Alves    Patrick Matheus    Eurico Cunha Neto,"Adventure, Dice, Fantasy, Miniatures","Cooperative Play, Dice Rolling, Modular Board, Take That, Variable Player Powers","CMON Limited, Edge Entertainment, Spaghetti Western Games",Moderate in-game text - needs crib sheet or paste ups,,279.0,Cooperative Play, Dice Rolling, Modular Board," Take That, Variable Player Powers",2_31-60
8880,8880,Masques,200,65673,2010,2191,6.55,1273,234.665,Bad,0.0533999170261481,2.0244,4,13,2,45,2702,45,1.33118,151,27,171,2010,Charles Chevallier    Catherine Dumas    Pascal Pelemans,"Card Game, Political, Renaissance","Area Control / Area Influence, Card Drafting, Hand Management, Memory","Arclight, CMON Limited, Edge Entertainment, Fantasy Flight Games, Game Harbor, Giochi Uniti, Hazgaard Editions, KADABRA, Kaissa Chess & Games, Menart",No necessary in-game text,,616.0,Area Control / Area Influence, Card Drafting, Hand Management, Memory,2_31-60
8885,8885,Master Fox,40,172358,2015,5745,6.23,260,109.6,Bad,0.14264356962481964,1.0833,4,7,2,20,647,20,1.2319200000000001,24,15,77,2015,Frédéric Vuagnat,"Animals, ""Childrens Game"", Deduction, Memory","Memory, Pattern Recognition","Heidelberger Spieleverlag, IELLO, SD Games, Superlude Éditions",No necessary in-game text,,1257.0,Memory, Pattern Recognition,,,1_<= 30
8968,8968,Medici: The Card Game,180,202288,2016,2138,6.8,825,222.5611111111111,Bad,0.13349918753797407,1.6,6,10,2,30,1564,30,1.1270799999999999,67,46,181,2016,Reiner Knizia,"Card Game, Renaissance","Press Your Luck, Set Collection","cosaic, Grail Games, PixieGames",No necessary in-game text,,556.0,Press Your Luck, Set Collection,,,1_<= 30
8972,8972,Medieval Academy,443,154386,2014,858,6.99,2994,198.7584650112867,Bad,0.10391718692333993,1.7921,5,8,2,30,4703,30,1.17321,188,153,825,2014,Nicolas Poncin,Medieval,"Area Control / Area Influence, Card Drafting, Hand Management","Blue Cocker Games, GoKids 玩樂小子, IELLO, Lifestyle Boardgames Ltd, uplay.it edizioni",No necessary in-game text,,195.0,Area Control / Area Influence, Card Drafting, Hand Management,,1_<= 30
8985,8985,Meeple Circus,328,193214,2017,764,7.2,2563,203.3689024390244,Good,0.09007146636403908,1.4,5,8,2,45,4166,45,1.33054,55,311,1392,2017,Cédric Millet,"Action / Dexterity, Animals","Card Drafting, Pattern Building, Press Your Luck","Matagot, Ergo Ludo Editions, Gen-X Games, Ghenos Games, Mandoo Games, Pegasus Spiele",Some necessary text - easily memorized or small crib sheet,,160.0,Card Drafting, Pattern Building, Press Your Luck,,2_31-60
9010,9010,Memoarrr!,130,230383,2017,1606,7.02,1053,174.91538461538462,Good,0.12567299528398795,1.15,4,8,2,10,2166,20,1.1813,54,27,170,2017,Carlo Bortolini,"Animals, Card Game, Memory, Nautical, Pirates","Memory, Modular Board","Edition Spielwiese, Act in games, Cranio Creations, Game Harbor, Hobby Japan, Luma Games, Mandoo Games, MINDOK, Pegasus Spiele, SD Games, Stronghold Games, White Goblin Games",No necessary in-game text,,394.0,Memory, Modular Board,,,1_<= 30
9017,9017,Menara,97,244608,2018,1498,7.49,732,276.5360824742268,Good,0.17660821533517282,1.7895,4,8,1,10,1365,60,1.12775,8,213,896,2018,Oliver Richtberg,"Action / Dexterity, Fantasy","Cooperative Play, Pattern Building",Zoch Verlag,No necessary in-game text,,304.0,Cooperative Play, Pattern Building,,,2_31-60
9059,9059,Meteor,53,166109,2014,4984,6.2,397,207.8679245283019,Bad,0.07334290615958097,1.8889,6,12,1,15,1264,15,1.44773,123,18,145,2014,Mike Young,"Card Game, Real-time, Science Fiction","Cooperative Play, Hand Management","Mayday Games, The Game Crafter, LLC",Moderate in-game text - needs crib sheet or paste ups,,1166.0,Cooperative Play, Hand Management,,,1_<= 30
9090,9090,Micropolis,101,239840,2018,2298,6.94,659,192.4356435643564,Bad,0.1092493190337749,1.6667,6,8,2,30,979,30,1.25394,14,107,539,2018,Bruno Cathala    Charles Chevallier,"Animals, Territory Building","Card Drafting, Set Collection, Tile Placement","Matagot, Gen-X Games, Pegasus Spiele",No necessary in-game text,,574.0,Card Drafting, Set Collection, Tile Placement,,1_<= 30
9184,9184,Minuscule,26,158356,2014,5014,6.58,218,93.26923076923076,Bad,0.068741452991453,1.0714,6,5,2,15,574,15,1.24068,10,5,44,2014,Lee Ju Hwa,"Card Game, Racing, Sports","Betting/Wagering, Hand Management","Bombyx, Magpie (Korean Co), Moonster Games, Popcorn Games, ADC Blackfire Entertainment",No necessary in-game text,,1121.0,Betting/Wagering, Hand Management,,,1_<= 30
9205,9205,Mission: Red Planet (Second Edition),907,176920,2015,213,7.52,7110,204.49724366041897,Good,0.12704871146466254,2.2228,6,14,2,45,9821,90,1.16601,130,633,3087,2015,Bruno Cathala    Bruno Faidutti,Science Fiction,"Area Control / Area Influence, Hand Management, Simultaneous Action Selection","Fantasy Flight Games, Edge Entertainment, Galakta, Giochi Uniti, Heidelberger Spieleverlag",Moderate in-game text - needs crib sheet or paste ups,149.0,25.0,Area Control / Area Influence, Hand Management, Simultaneous Action Selection,,3_61-120
9228,9228,Mmm!,85,172507,2015,4210,6.4,389,201.34117647058827,Bad,0.0942240798028613,1.1111,6,5,1,15,604,20,1.30037,12,36,164,2015,Reiner Knizia,"Animals, ""Childrens Game"", Dice","Cooperative Play, Dice Rolling, Press Your Luck","Compaya.hu - Gamer Café Kft., Ediciones MasQueOca, Lucrum Games, MINDOK, Pegasus Spiele",No necessary in-game text,,1045.0,Cooperative Play, Dice Rolling, Press Your Luck,,1_<= 30
9258,9258,Mondo,381,91523,2011,1676,6.54,2293,186.96587926509187,Bad,0.10322037709124204,1.8047,4,8,1,20,2757,30,1.3384200000000002,127,111,407,2011,Michael Schacht,"Animals, Environmental, Puzzle, Real-time","Pattern Building, Tile Placement","Pegasus Spiele, Brain Games, dV Giochi, DVS Games, Fantasmagoria, Filosofia Éditions, Kaissa Chess & Games, Lautapelit.fi, Lifestyle Boardgames Ltd, Menart, MINDOK, Rebel, Swan Panasia Co., Ltd., White Goblin Games, Z-Man Games, Inc.",No necessary in-game text,,458.0,Pattern Building, Tile Placement,,,1_<= 30
9294,9294,Monopoly Gamer,233,230408,2017,2544,6.56,1160,193.74248927038627,Bad,0.10477678138428502,1.1852,4,8,2,45,2924,60,1.56751,61,23,105,2017,Uncredited,"Economic, Video Game Theme","Roll / Spin and Move, Set Collection, Stock Holding, Take That, Variable Player Powers",Hasbro,Moderate in-game text - needs crib sheet or paste ups,,737.0,Roll / Spin and Move, Set Collection, Stock Holding," Take That, Variable Player Powers",2_31-60
9413,9413,Monster Factory,111,112598,2012,4174,6.35,432,190.63963963963963,Bad,0.1182242893900224,1.1429,6,5,2,30,715,30,1.4560899999999999,17,36,132,2012,Nina Paley    Donald X  Vaccarino,"""Childrens Game""",Tile Placement,"AT Games, Rio Grande Games",No necessary in-game text,,1042.0,Tile Placement,,,,1_<= 30
9478,9478,Mord im Arosa,328,80006,2010,1892,6.57,1512,233.69512195121948,Bad,0.10899029265948568,1.4516,6,10,2,30,1759,30,1.2046,67,112,329,2010,Alessandro Zucchini,"Action / Dexterity, Murder/Mystery, Party Game",Memory,"Competo / Marektoy, Zoch Verlag",No necessary in-game text,,512.0,Memory,,,,1_<= 30
9485,9485,Morels,1141,122298,2012,637,7.03,5993,193.7554776511832,Good,0.11394900640473216,1.7361,2,10,2,30,10329,30,1.204,251,338,1477,2012,Brent Povis,"Card Game, Educational","Card Drafting, Hand Management, Set Collection","Two Lanterns Games, Bright World Games, Fantasmagoria, HomoLudicus, MYBG Co., Ltd., PaperGames (III), Pegasus Spiele, Rebel",No necessary in-game text,,141.0,Card Drafting, Hand Management, Set Collection,,1_<= 30
9573,9573,Munchkin Panic,83,156786,2014,4428,6.17,586,190.21686746987962,Bad,0.09214891722649704,2.1111,6,8,1,45,1819,60,1.58049,80,16,146,2014,Anne Marie De Witt,"Card Game, Fantasy","Cooperative Play, Hand Management","Black Monk, Edge Entertainment, Fireside Games, Galápagos Jogos, Hobby World, Pegasus Spiele",Moderate in-game text - needs crib sheet or paste ups,,1167.0,Cooperative Play, Hand Management,,,2_31-60
9585,9585,Mundus Novus,299,103686,2011,1602,6.71,1627,260.76923076923083,Bad,0.10126397465013356,2.19,6,14,2,45,2245,60,1.2097,109,129,518,2011,Bruno Cathala    Serge Laget,"Card Game, Economic, Nautical, Renaissance","Card Drafting, Hand Management, Set Collection, Trading",Asmodee,No necessary in-game text,805.0,423.0,Card Drafting, Hand Management, Set Collection, Trading,2_31-60
9604,9604,Museum,88,204505,2019,2603,7.48,400,224.6136363636364,Good,0.05380580340681252,2.2632,4,12,2,30,1432,60,1.5401799999999999,16,199,1004,2019,Eric Dubus    Olivier Melison,Card Game,"Card Drafting, Set Collection, Trading","Holy Grail Games, Luma Games",Some necessary text - easily memorized or small crib sheet,,572.0,Card Drafting, Set Collection, Trading,,2_31-60
9608,9608,Mush! Mush!: Snow Tails 2,77,147707,2013,3251,6.95,327,256.15584415584414,Bad,0.17700880271130814,1.9259,8,12,2,30,519,30,1.1903,26,86,255,2013,Fraser Lamont    Gordon Lamont,"Animals, Card Game, Humor, Racing, Sports","Hand Management, Modular Board",Fragor Games,No necessary in-game text,,827.0,Hand Management, Modular Board,,,1_<= 30
9615,9615,Musée,101,163056,2014,3139,6.9,362,233.0990099009901,Bad,0.21188567709474973,1.16,4,8,2,30,703,30,1.14402,29,47,168,2014,Alf Seegert,Card Game,"Hand Management, Pattern Building, Set Collection",Eagle-Gryphon Games,No necessary in-game text,,808.0,Hand Management, Pattern Building, Set Collection,,1_<= 30
9638,9638,My Happy Farm,115,100734,2011,3297,6.51,570,144.9913043478261,Bad,0.06754116065956127,1.6765,4,8,2,45,1019,45,1.1771200000000002,49,30,144,2011,Oleksandr Nevskiy    Oleg Sidorenko,"Animals, Card Game, ""Childrens Game"", Farming","Card Drafting, Hand Management, Set Collection","2 Pionki, 5th Street Games, Hobby World, IGAMES, Portal Games",No necessary in-game text,,884.0,Card Drafting, Hand Management, Set Collection,,2_31-60
9644,9644,My Little Scythe,276,226320,2017,735,7.54,1727,194.8405797101449,Good,0.1686845450101254,1.9474,6,8,1,45,4849,60,1.3583399999999999,58,208,1065,2017,Hoby Chou    Vienna Chou,"""Childrens Game"", Economic, Exploration, Fantasy, Fighting, Math","Area Control / Area Influence, Dice Rolling, Grid Movement, Pick-up and Deliver, Take That","Stonemaier Games, (Self-Published), Delta Vision Publishing, Ghenos Games, Maldito Games, Matagot, Mirakulus, PHALANX, Spiele-Offensive.de",Moderate in-game text - needs crib sheet or paste ups,,137.0,Area Control / Area Influence, Dice Rolling, Grid Movement," Pick-up and Deliver, Take That",2_31-60
9655,9655,Mysterium,2665,181304,2015,187,7.4,23088,199.6439024390244,Good,0.12220905061453916,1.9155,7,10,2,42,35470,42,1.35788,469,741,5419,2015,Oleksandr Nevskiy    Oleg Sidorenko,"Deduction, Horror, Murder/Mystery, Party Game","Cooperative Play, Hand Management, Pattern Recognition","Libellud, ADC Blackfire Entertainment, Asmodee, Bergsala Enigma, Esdevium, F2Z Digital Media Inc., Filosofia Éditions, Galápagos Jogos, Gém Klub Kft., GoKids 玩樂小子, Kaissa Chess & Games, Lautapelit.fi, Morapiaf, Z-Man Games, Inc.",No necessary in-game text,,32.0,Cooperative Play, Hand Management, Pattern Recognition,,2_31-60
9657,9657,Mystery Express,503,65907,2010,1573,6.57,2423,253.41153081510933,Bad,0.07888921741780762,2.6689,5,12,3,60,3415,90,1.45791,124,238,873,2010,Antoine Bauza    Serge Laget,"Deduction, Murder/Mystery","Action Point Allowance System, Hand Management, Memory, Trading, Variable Player Powers",Days of Wonder,Some necessary text - easily memorized or small crib sheet,,439.0,Action Point Allowance System, Hand Management, Memory," Trading, Variable Player Powers",3_61-120
9719,9719,NMBR 9,563,217449,2017,768,6.98,3916,178.4404973357016,Bad,0.1096529854778714,1.1781,4,8,1,20,5463,20,1.21776,73,199,907,2017,Peter Wichmann,"Abstract Strategy, Number, Puzzle","Pattern Building, Simultaneous Action Selection, Tile Placement","999 Games, ABACUSSPIELE, cutia.ro, Devir, dV Giochi, G3, Game Factory, GoKids 玩樂小子, Lautapelit.fi, Möbius Games, Z-Man Games, Inc.",No necessary in-game text,,181.0,Pattern Building, Simultaneous Action Selection, Tile Placement,,1_<= 30
9720,9720,NOIR: Deductive Mystery Game,188,102148,2012,2167,6.64,1089,201.4148936170213,Bad,0.09933258215212913,1.6111,9,8,2,5,2446,5,1.4257799999999998,139,58,280,2012,D  Brad Talton  Jr,"Deduction, Murder/Mystery, Spies/Secret Agents","Secret Unit Deployment, Variable Player Powers","GaGa Games, Level 99 Games",No necessary in-game text,,603.0,Secret Unit Deployment, Variable Player Powers,,,1_<= 30
9787,9787,Nations: The Dice Game,689,157809,2014,746,6.97,4028,212.4978229317852,Bad,0.08931808655461068,2.0152,4,14,1,20,4526,40,1.2384700000000002,111,342,1183,2014,Rustan Håkansson,"Civilization, Dice",Dice Rolling,"Lautapelit.fi, Pegasus Spiele, Stronghold Games",No necessary in-game text,444.0,176.0,Dice Rolling,,,,2_31-60
9811,9811,Nefarious,423,108044,2011,2121,6.36,2124,217.73049645390068,Bad,0.0826006328204245,1.7409999999999999,6,8,2,30,2838,45,1.4789700000000001,163,92,556,2011,Donald X  Vaccarino,"Card Game, Humor, Science Fiction","Hand Management, Simultaneous Action Selection","Ascora Games, FoxGames, Magellan, The OP",Some necessary text - easily memorized or small crib sheet,,648.0,Hand Management, Simultaneous Action Selection,,,2_31-60
9813,9813,Nehemiah,30,129225,2014,5786,6.77,136,142.46666666666667,Bad,0.07121166535013519,2.8,4,10,2,45,204,45,1.2803,14,77,207,2014,Łukasz Woźniak,"Ancient, Card Game, Religious","Area Control / Area Influence, Auction/Bidding, Modular Board, Worker Placement",Leonardo Games,No necessary in-game text,1599.0,1245.0,Area Control / Area Influence, Auction/Bidding, Modular Board, Worker Placement,2_31-60
9847,9847,Nevermore,158,173047,2015,2240,6.71,947,220.6012658227848,Bad,0.07468540574838703,1.9355,6,14,3,45,1725,60,1.41333,64,71,349,2015,Curt Covert,"Animals, Card Game","Card Drafting, Hand Management, Set Collection, Take That",Smirk & Dagger Games,Some necessary text - easily memorized or small crib sheet,,620.0,Card Drafting, Hand Management, Set Collection, Take That,2_31-60
9857,9857,New Haven,100,146158,2013,3774,6.54,404,267.35,Bad,0.06335618283820492,2.0667,4,12,2,60,643,60,1.15171,47,23,118,2013,Brian Leet    Kevin Worden,City Building,Tile Placement,R&R Games,No necessary in-game text,1338.0,955.0,Tile Placement,,,,2_31-60
9868,9868,New York 1901,674,174660,2015,825,6.89,4533,208.67952522255192,Bad,0.09695536464222876,2.0629,4,8,2,30,7805,60,1.17765,342,200,1059,2015,Chénier La Salle,City Building,"Area Control / Area Influence, Card Drafting, Tile Placement","Blue Orange Games, ADC Blackfire Entertainment, Bard Centrum Gier, Competo / Marektoy, Lifestyle Boardgames Ltd, PaperGames (III), Swan Panasia Co., Ltd.",No necessary in-game text,,201.0,Area Control / Area Influence, Card Drafting, Tile Placement,,2_31-60
9871,9871,New York Slice,343,208895,2017,1235,6.82,2192,192.56268221574345,Bad,0.162817544218661,1.4571,6,8,2,30,3662,30,1.18981,94,129,524,2017,Jeffrey D  Allers,Party Game,"Area Control / Area Influence, Set Collection","Arclight, Bézier Games, MYBG Co., Ltd.",Some necessary text - easily memorized or small crib sheet,,305.0,Area Control / Area Influence, Set Collection,,,1_<= 30
9919,9919,Nile DeLuxor,91,93971,2011,3528,6.65,383,217.5934065934066,Bad,0.05383815589737506,1.5333,6,8,2,30,690,30,1.31228,41,18,79,2011,Daniel Callister    James Mathe,"Ancient, Card Game, Farming, Print & Play","Card Drafting, Commodity Speculation, Hand Management","Minion Games, White Goblin Games",No necessary in-game text,,899.0,Card Drafting, Commodity Speculation, Hand Management,,1_<= 30
9935,9935,Ninja Camp,158,176565,2016,2034,6.82,909,150.9493670886076,Bad,0.12112047795067332,1.6154,4,14,2,15,1752,30,1.20605,71,31,212,2016,Adam E  Daulton,"Abstract Strategy, Card Game","Hand Management, Modular Board, Variable Player Powers","Action Phase Games, Matagot, Meeple BR Jogos, Portal Games, ""Surfin Meeple China""",Some necessary text - easily memorized or small crib sheet,,535.0,Hand Management, Modular Board, Variable Player Powers,,1_<= 30
9982,9982,Noah,142,116858,2012,2516,6.52,986,148.38732394366198,Bad,0.07656756225212799,1.3667,5,7,2,30,1544,30,1.2112,29,23,147,2012,Bruno Cathala    Ludovic Maublanc,"Animals, Card Game",Hand Management,"Bombyx, Asmodee, Jolly Thinkers, REXhry",No necessary in-game text,,684.0,Hand Management,,,,1_<= 30
9989,9989,Noch mal!,251,206931,2016,1143,7.03,1730,158.15936254980082,Good,0.09552930362235038,1.1714,6,8,1,20,3006,20,1.07039,29,82,334,2016,Inka Brand    Markus Brand,"Abstract Strategy, Dice","Dice Rolling, Paper-and-Pencil","Schmidt Spiele, 999 Games, Devir, Stronghold Games",No necessary in-game text,,249.0,Dice Rolling, Paper-and-Pencil,,,1_<= 30
10014,10014,Norsaga,52,158883,2015,5839,6.45,206,256.8076923076923,Bad,0.16971447645760834,1.8,4,8,2,30,575,30,1.52209,42,3,34,2015,Kevin Bishop,"Card Game, Fantasy, Medieval","Hand Management, Set Collection, Variable Player Powers",Meromorph Games,Some necessary text - easily memorized or small crib sheet,,1300.0,Hand Management, Set Collection, Variable Player Powers,,1_<= 30
10020,10020,North Wind,137,153425,2014,2852,6.46,825,300.4744525547445,Bad,0.07055795793799667,1.9318,4,10,2,60,1722,60,1.2868899999999999,66,76,306,2014,Klaus Teuber,Pirates,"Dice Rolling, Memory, Press Your Luck, Trading","999 Games, Bergsala Enigma, Devir, KOSMOS, Z-Man Games, Inc.",No necessary in-game text,,760.0,Dice Rolling, Memory, Press Your Luck, Trading,2_31-60
10023,10023,Northwest Passage Adventure,17,128662,2012,8380,6.31,108,129.76470588235293,Bad,-0.013526763869540671,1.7778,4,10,2,40,204,40,1.43259,12,7,38,2012,A  Víctor Rojo Arias    Diego Martín de las Pueblas Encinas    Jaime Vega Romera,"Adventure, Exploration, Nautical, Racing","Action Point Allowance System, Grid Movement, Hand Management, Modular Board, Tile Placement, Variable Player Powers",Gen-X Games,No necessary in-game text,,1441.0,Action Point Allowance System, Grid Movement, Hand Management," Modular Board, Tile Placement, Variable Player Powers",2_31-60
10058,10058,Nuns on the Run,760,65515,2010,1441,6.52,3578,226.7736842105263,Bad,0.0586818517946982,2.066,8,10,2,45,4772,45,1.40454,277,150,856,2010,Fréderic Moyersoen,"Bluffing, Deduction, Humor, Religious","Dice Rolling, Paper-and-Pencil, Partnerships, Pick-up and Deliver, Point to Point Movement, Secret Unit Deployment, Variable Player Powers",Mayfair Games,Some necessary text - easily memorized or small crib sheet,,416.0,Dice Rolling, Paper-and-Pencil, Partnerships," Pick-up and Deliver, Point to Point Movement, Secret Unit Deployment, Variable Player Powers",2_31-60
10073,10073,O Vale dos Monstros,23,103666,2011,6098,6.77,153,123.78260869565216,Bad,0.11633617396233854,1.9091,5,14,2,60,220,60,1.3515,2,7,31,2011,Marcos Macri,Horror,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Variable Player Powers",Galápagos Jogos,No necessary in-game text,,1278.0,Action Point Allowance System, Area Control / Area Influence, Area Movement, Variable Player Powers,2_31-60
10100,10100,Oceanos,304,192860,2016,1066,6.94,2285,205.95723684210535,Bad,0.1402102131108809,1.8163,5,8,2,30,4107,45,1.1631,133,181,995,2016,Antoine Bauza,"Animals, Exploration, Nautical","Card Drafting, Set Collection, Simultaneous Action Selection","Devir, Fantasmagoria, Hobby World, Hutter Trade GmbH + Co KG, IELLO, Mancalamaro, One Moment Games, Sherlock S.A.",No necessary in-game text,,243.0,Card Drafting, Set Collection, Simultaneous Action Selection,,2_31-60
10106,10106,OctoDice,157,180231,2015,2501,6.58,867,231.53503184713367,Bad,0.11343439158097912,1.8261,4,10,1,20,1552,30,1.22576,61,42,195,2015,Christoph Toussaint,Dice,"Dice Rolling, Set Collection","Alderac Entertainment Group, Pegasus Spiele",No necessary in-game text,,664.0,Dice Rolling, Set Collection,,,1_<= 30
10108,10108,Octopus' Garden,66,85800,2011,4441,6.69,242,236.27272727272728,Bad,0.11988072130814716,1.5,4,10,2,45,544,45,1.1689100000000001,32,17,75,2011,Roberta Taylor,Animals,"Set Collection, Tile Placement","Valley Games, Inc.",No necessary in-game text,,1048.0,Set Collection, Tile Placement,,,2_31-60
10115,10115,Odin's Ravens (Second Edition),277,192074,2016,1092,7.1,1708,149.35379061371842,Good,0.15396771285238806,1.2391,2,10,2,15,3426,30,1.12568,64,99,471,2016,Thorsten Gimmler,"Animals, Card Game, Fantasy, Mythology, Racing",Hand Management,"Osprey Games, HT Publishers, Nasza Księgarnia, Swan Panasia Co., Ltd.",No necessary in-game text,,253.0,Hand Management,,,,1_<= 30
10185,10185,Om Nom Nom,90,147305,2013,3909,6.32,521,150.34444444444443,Bad,0.08989680186027854,1.1935,6,8,1,20,574,20,1.36065,16,23,102,2013,Meelis Looveer,"Animals, Bluffing, Card Game, Dice","Dice Rolling, Simultaneous Action Selection","A-games (Board Game), Brain Games, Distribution LeValet, G3, Gigamic, Lautapelit.fi",No necessary in-game text,,997.0,Dice Rolling, Simultaneous Action Selection,,,1_<= 30
10229,10229,Onirim,1091,71836,2010,1025,6.7,4990,186.22089825847846,Bad,0.07851475784598799,1.6495,2,8,1,15,7567,15,1.35283,269,149,1024,2010,Shadi Torbey,"Card Game, Exploration, Fantasy, Maze","Cooperative Play, Hand Management, Set Collection","Z-Man Games, Inc., Filosofia Éditions, Hobby Japan, Lacerta, Pegasus Spiele",No necessary in-game text,,286.0,Cooperative Play, Hand Management, Set Collection,,1_<= 30
10275,10275,Ophir,58,151275,2015,4129,6.91,243,240.1034482758621,Bad,0.13304618978046973,2.1304,4,10,2,45,501,60,1.32162,34,49,195,2015,Jason D  Kingsley    Charles C  Wright,"Economic, Nautical","Dice Rolling, Modular Board, Pick-up and Deliver, Set Collection, Variable Player Powers",Terra Nova Games,Some necessary text - easily memorized or small crib sheet,1394.0,1001.0,Dice Rolling, Modular Board, Pick-up and Deliver," Set Collection, Variable Player Powers",2_31-60
10316,10316,Origin,201,127095,2013,2135,6.73,944,266.6119402985075,Bad,0.11729233795285984,2.14,4,8,2,45,1673,60,1.1959,86,57,287,2013,Andrea Mainini,"Exploration, Prehistoric","Area Control / Area Influence, Area Movement, Hand Management, Set Collection","Matagot, Group SNE, REXhry",Some necessary text - easily memorized or small crib sheet,994.0,562.0,Area Control / Area Influence, Area Movement, Hand Management, Set Collection,2_31-60
10348,10348,Ouro de Tolo,14,94822,2011,8033,6.66,74,129.28571428571428,Bad,0.15098639455782314,1.1667,6,8,3,40,95,40,1.52646,3,1,11,2011,Sérgio Halaban    André Zatz,"American West, Card Game","Hand Management, Press Your Luck, Set Collection",Ceilikan Jogos,Some necessary text - easily memorized or small crib sheet,,1432.0,Hand Management, Press Your Luck, Set Collection,,2_31-60
10399,10399,Oz Fluxx,97,117838,2012,3591,6.31,735,124.59793814432993,Bad,0.09287768836730327,1.5385,6,8,2,10,2089,40,1.56263,44,9,90,2012,Andrew Looney,Card Game,"Hand Management, Set Collection",Looney Labs,Some necessary text - easily memorized or small crib sheet,,977.0,Hand Management, Set Collection,,,2_31-60
10401,10401,P.I.,283,129050,2012,1673,6.74,1460,259.46996466431096,Bad,0.08173105034753507,2.2644,5,13,2,45,2088,60,1.30265,72,71,273,2012,Martin Wallace,"Deduction, Murder/Mystery, Spies/Secret Agents","Card Drafting, Modular Board, Tile Placement","Asmodee, Phalanx Games Polska, Treefrog Games",No necessary in-game text,,429.0,Card Drafting, Modular Board, Tile Placement,,2_31-60
10433,10433,Pack of Heroes,62,128938,2014,4687,6.41,299,343.5806451612903,Bad,0.07282018133445567,2.0,2,10,2,20,796,20,1.35427,62,10,57,2014,Phil Walker Harding,"Card Game, Comic Book / Strip, Fighting","Card Drafting, Hand Management, Variable Player Powers",Adventureland Games,Some necessary text - easily memorized or small crib sheet,,1124.0,Card Drafting, Hand Management, Variable Player Powers,,1_<= 30
10436,10436,Packet Row,124,144492,2013,4006,6.19,611,306.97580645161287,Bad,0.06978415392777898,1.9459,5,10,2,45,844,75,1.29186,79,18,88,2013,Åse Berg    Henrik Berg,Industry / Manufacturing,"Auction/Bidding, Card Drafting, Hand Management","Pegasus Spiele, White Goblin Games",No necessary in-game text,,1012.0,Auction/Bidding, Card Drafting, Hand Management,,3_61-120
10441,10441,Pagoda,222,154003,2014,1815,6.69,1274,174.61711711711712,Bad,0.10135906088344117,1.875,2,8,2,30,2266,45,1.1951200000000002,111,77,354,2014,Arve D  Fühler,Ancient,Hand Management,"Pegasus Spiele, Alderac Entertainment Group, Matagot, ""Surfin Meeple China"", Swan Panasia Co., Ltd., White Goblin Games",No necessary in-game text,,476.0,Hand Management,,,,2_31-60
10445,10445,Pairs,402,152237,2014,2162,6.4,1788,154.3905472636816,Bad,0.10904781280102398,1.1522,8,0,2,15,4622,15,1.43353,107,34,201,2014,James Ernest    Heinrich Glumpler    Paul Peterson,Card Game,Press Your Luck,"Cheapass Games, AMIGO, Breaking Games, Digital Eel, Ediciones Primigenio, Hobby World, Origames, Superlude Éditions, テンデイズゲームズ (Ten Days Games), Truant Spiele",No necessary in-game text,,622.0,Press Your Luck,,,,1_<= 30
10466,10466,Palm Island,225,239464,2018,1053,7.55,1117,206.3511111111111,Good,0.11908639267689235,1.7143,2,10,1,15,2844,15,1.19387,36,133,647,2018,Jon Mietling,"Card Game, City Building","Cooperative Play, Deck / Pool Building, Hand Management, Memory, Simultaneous Action Selection",Portal Dragon,Some necessary text - easily memorized or small crib sheet,,226.0,Cooperative Play, Deck / Pool Building, Hand Management," Memory, Simultaneous Action Selection",1_<= 30
10478,10478,Pandemic: Contagion,345,157789,2014,1722,6.46,2686,197.072463768116,Bad,0.05411948523728296,1.8989,5,14,2,30,5803,30,1.32208,181,94,710,2014,Carey Grayson,"Card Game, Medical","Area Control / Area Influence, Hand Management","Z-Man Games, Inc., Asmodee, Asterion Press, Filosofia Éditions, Hobby Japan",Moderate in-game text - needs crib sheet or paste ups,,508.0,Area Control / Area Influence, Hand Management,,,1_<= 30
